tanggal,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas I,Daging Sapi Kualitas II,Telur Ayam,Telur Ayam Ras Segar,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk I,Minyak Goreng Kemasan Bermerk II,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
2016-09-14,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,34150.0,34150.0,135400.0,143250.0,127500.0,19650.0,19650.0,42000.0,42000.0,37000.0,37000.0,47000.0,47500.0,46500.0,40500.0,33000.0,48000.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-15,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,34150.0,34150.0,135400.0,143250.0,127500.0,19650.0,19650.0,40000.0,40000.0,36500.0,36500.0,47500.0,47500.0,47500.0,39650.0,33750.0,45500.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-16,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32000.0,32000.0,135400.0,143250.0,127500.0,19650.0,19650.0,41650.0,41650.0,36500.0,36500.0,44500.0,44500.0,44500.0,35000.0,30000.0,40000.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-17,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32000.0,32000.0,135400.0,143250.0,127500.0,19650.0,19650.0,41650.0,41650.0,36500.0,36500.0,44500.0,44500.0,44500.0,35000.0,30000.0,40000.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-18,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32000.0,32000.0,135400.0,143250.0,127500.0,19650.0,19650.0,41650.0,41650.0,36500.0,36500.0,44500.0,44500.0,44500.0,35000.0,30000.0,40000.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-19,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32000.0,32000.0,135400.0,143250.0,127500.0,19650.0,19650.0,40150.0,40150.0,37000.0,37000.0,39500.0,41500.0,37500.0,34450.0,31400.0,37500.0,13950.0,12900.0,14650.0,14400.0,15900.0,17250.0,14500.0
2016-09-20,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32000.0,32000.0,135400.0,143250.0,127500.0,19650.0,19650.0,36650.0,36650.0,36000.0,36000.0,38500.0,39500.0,37500.0,34450.0,31400.0,37500.0,13950.0,12900.0,14650.0,14400.0,15750.0,17250.0,14250.0
2016-09-21,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,33000.0,33000.0,135400.0,143250.0,127500.0,19650.0,19650.0,36150.0,36150.0,36500.0,36500.0,38750.0,39000.0,38500.0,31900.0,27500.0,36250.0,13950.0,12900.0,14650.0,14400.0,15750.0,17250.0,14250.0
2016-09-22,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32250.0,32250.0,135400.0,143250.0,127500.0,19400.0,19400.0,36150.0,36150.0,37500.0,37500.0,38000.0,42750.0,33250.0,29650.0,25500.0,33750.0,13950.0,12900.0,14650.0,14400.0,15750.0,17250.0,14250.0
2016-09-23,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32250.0,32250.0,135400.0,143250.0,127500.0,19400.0,19400.0,36150.0,36150.0,37000.0,37000.0,39150.0,42750.0,35500.0,31250.0,26750.0,35750.0,13950.0,12900.0,14650.0,14400.0,15750.0,17250.0,14250.0
2016-09-24,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32250.0,32250.0,135400.0,143250.0,127500.0,19400.0,19400.0,36150.0,36150.0,37000.0,37000.0,39150.0,42750.0,35500.0,31250.0,26750.0,35750.0,13950.0,12900.0,14650.0,14400.0,15750.0,17250.0,14250.0
2016-09-25,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32250.0,32250.0,135400.0,143250.0,127500.0,19400.0,19400.0,36150.0,36150.0,37000.0,37000.0,39150.0,42750.0,35500.0,31250.0,26750.0,35750.0,13950.0,12900.0,14650.0,14400.0,15750.0,17250.0,14250.0
